Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,AvgH,AvgD,AvgA,season,HomeTeamPoints,AwayTeamPoints,HomeTeamStrength,AwayTeamStrength,avgHG,avgHHG,avgHST,avgHR,avgHomeWinOdds,avgHomeDrawOdds,avgAG,avgHAG,avgAST,avgAR,avgAwayWinOdds,avgAwayDrawOdds
B1,2024-09-01,18:15,Kortrijk,St Truiden,1.0,1.0,D,0.0,1.0,A,15.0,8.0,4.0,3.0,8.0,12.0,8.0,6.0,1.0,1.0,0.0,0.0,2.1,3.49,3.34,S2024/2025,1,1,8.0,13.0,0.6666666666666666,0.0,5.666666666666667,0.0,3.24,3.643333333333333,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.0,5.553333333333334,4.216666666666667
B1,2024-09-01,17:30,St. Gilloise,Anderlecht,0.0,0.0,D,0.0,0.0,D,22.0,10.0,6.0,5.0,10.0,13.0,8.0,4.0,3.0,4.0,0.0,0.0,2.05,3.67,3.3,S2024/2025,1,1,1.0,1.0,1.3333333333333333,0.6666666666666666,4.666666666666667,0.0,1.7299999999999998,4.2,1.6666666666666667,1.0,5.666666666666667,0.0,2.6199999999999997,3.5766666666666667
B1,2024-09-01,15:00,Gent,Antwerp,1.0,1.0,D,1.0,1.0,D,15.0,15.0,8.0,10.0,18.0,10.0,1.0,5.0,4.0,3.0,0.0,0.0,2.49,3.58,2.63,S2024/2025,1,1,8.0,4.0,2.0,1.3333333333333333,6.333333333333333,0.0,1.9033333333333333,4.263333333333333,0.6666666666666666,0.6666666666666666,5.666666666666667,0.3333333333333333,2.9866666666666664,3.6933333333333334
B1,2024-09-01,12:30,Club Brugge,Cercle Brugge,3.0,0.0,H,2.0,0.0,H,21.0,11.0,10.0,3.0,8.0,8.0,4.0,5.0,1.0,1.0,0.0,0.0,1.52,4.45,5.5,S2024/2025,3,0,1.0,13.0,1.6666666666666667,0.6666666666666666,7.333333333333333,0.0,1.5566666666666666,4.4366666666666665,0.3333333333333333,0.3333333333333333,4.0,0.0,3.41,3.8066666666666666
B1,2024-08-31,19:45,Oud-Heverlee Leuven,Standard,2.0,0.0,H,1.0,0.0,H,13.0,4.0,4.0,0.0,10.0,17.0,11.0,3.0,4.0,4.0,0.0,0.0,1.93,3.44,3.93,S2024/2025,3,0,1.0,13.0,2.0,1.3333333333333333,5.0,0.3333333333333333,2.686666666666666,3.4566666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,4.283333333333334,3.73
B1,2024-08-31,17:15,Beerschot VA,Dender,1.0,2.0,A,0.0,2.0,A,15.0,16.0,4.0,4.0,17.0,22.0,0.0,2.0,4.0,1.0,0.0,0.0,2.86,3.37,2.41,S2024/2025,0,3,16.0,1.0,1.3333333333333333,0.3333333333333333,3.6666666666666665,0.0,3.44,3.606666666666667,2.3333333333333335,1.3333333333333333,5.333333333333333,0.0,4.47,4.013333333333334
B1,2024-08-31,15:00,Mechelen,Charleroi,5.0,2.0,H,3.0,2.0,H,11.0,25.0,7.0,6.0,9.0,11.0,0.0,7.0,1.0,3.0,0.0,0.0,2.68,3.46,2.51,S2024/2025,3,0,12.0,5.0,2.6666666666666665,1.3333333333333333,6.666666666666667,0.0,2.6199999999999997,3.6633333333333336,2.0,2.0,4.666666666666667,0.0,3.1799999999999997,3.543333333333333
B1,2024-08-30,19:45,Genk,Westerlo,1.0,0.0,H,0.0,0.0,D,15.0,9.0,5.0,0.0,4.0,16.0,0.0,1.0,1.0,5.0,0.0,0.0,1.65,4.26,4.55,S2024/2025,3,0,1.0,5.0,1.3333333333333333,0.0,5.0,0.0,2.17,4.13,1.6666666666666667,1.0,5.666666666666667,0.0,3.89,4.0633333333333335
B1,2024-08-25,18:15,Charleroi,Kortrijk,1.0,0.0,H,1.0,0.0,H,12.0,5.0,3.0,1.0,8.0,11.0,4.0,2.0,1.0,3.0,0.0,0.0,1.75,3.7,4.51,S2024/2025,3,0,7.0,5.0,0.6666666666666666,0.3333333333333333,4.333333333333333,0.0,2.5733333333333333,3.6233333333333335,1.0,0.6666666666666666,3.0,0.3333333333333333,4.206666666666667,3.7733333333333334
B1,2024-08-25,17:30,Standard,Beerschot VA,1.0,0.0,H,0.0,0.0,D,12.0,11.0,3.0,2.0,7.0,10.0,2.0,1.0,0.0,2.0,0.0,1.0,1.77,3.81,4.27,S2024/2025,3,0,1.0,16.0,0.6666666666666666,0.0,3.0,0.0,3.223333333333333,3.8699999999999997,0.6666666666666666,0.3333333333333333,2.3333333333333335,0.3333333333333333,5.913333333333333,4.443333333333333
B1,2024-08-25,15:00,St Truiden,St. Gilloise,0.0,0.0,D,0.0,0.0,D,5.0,13.0,0.0,2.0,11.0,11.0,3.0,8.0,2.0,3.0,1.0,0.0,5.98,4.35,1.5,S2024/2025,1,1,15.0,12.0,1.3333333333333333,0.6666666666666666,2.0,0.3333333333333333,3.643333333333333,3.733333333333333,1.0,0.3333333333333333,4.0,0.0,1.6233333333333333,4.296666666666667
B1,2024-08-25,12:30,Dender,Club Brugge,1.0,2.0,A,1.0,2.0,A,11.0,13.0,5.0,4.0,13.0,13.0,6.0,1.0,3.0,2.0,0.0,0.0,5.12,4.3,1.57,S2024/2025,0,3,8.0,5.0,1.6666666666666667,1.0,3.6666666666666665,0.0,4.636666666666667,4.2,1.3333333333333333,1.0,5.666666666666667,0.0,1.7133333333333336,4.1066666666666665
B1,2024-08-24,19:45,Antwerp,Mechelen,0.0,1.0,A,0.0,1.0,A,19.0,13.0,4.0,4.0,9.0,11.0,14.0,2.0,2.0,2.0,0.0,0.0,1.55,4.27,5.4,S2024/2025,0,3,12.0,3.0,2.3333333333333335,1.0,6.333333333333333,0.0,1.8866666666666667,4.1866666666666665,0.6666666666666666,0.3333333333333333,2.6666666666666665,0.0,5.3,4.19
B1,2024-08-24,17:15,Westerlo,Oud-Heverlee Leuven,1.0,1.0,D,1.0,1.0,D,15.0,13.0,3.0,6.0,12.0,14.0,7.0,6.0,3.0,2.0,0.0,0.0,2.02,3.62,3.46,S2024/2025,1,1,1.0,5.0,2.6666666666666665,1.6666666666666667,6.0,0.0,2.8366666666666664,3.65,0.6666666666666666,0.6666666666666666,4.0,0.0,3.293333333333333,3.51
